brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,warranty,Touchscreen,msoffice,rating,Price
3,1,1,0,2,1,0,1,2,1,0,0,0,0,2,39990
3,1,1,0,2,1,0,1,2,0,0,3,0,0,3,40890
5,1,1,0,2,1,0,1,2,1,0,0,0,0,2,36990
4,1,1,1,2,1,0,1,2,1,0,0,0,0,2,39990
4,1,1,1,2,1,0,1,2,1,0,0,0,0,3,41990
3,1,1,1,2,1,0,1,2,0,0,3,0,0,2,43970
4,1,1,1,2,1,0,1,2,1,0,0,0,0,2,39790
1,1,1,0,2,1,0,1,2,0,0,3,0,0,2,35590
4,1,1,0,2,1,0,1,2,1,0,0,0,0,2,36490
1,1,1,0,2,1,0,1,2,1,0,0,0,0,3,38990
1,1,1,0,2,1,0,1,2,0,0,3,0,0,2,33990
3,1,1,0,2,1,0,1,2,1,0,0,0,0,3,43400
1,1,0,7,2,4,0,3,2,0,0,3,0,0,3,24990
4,1,1,0,2,1,0,1,2,1,0,0,0,0,3,40750
3,1,1,0,2,1,0,1,2,1,0,0,0,0,3,43000
1,1,1,0,2,1,0,1,2,1,0,3,0,0,3,38000
3,1,1,1,3,1,0,1,2,1,0,0,0,0,2,37990
4,1,1,4,3,1,0,1,2,1,1,3,0,0,3,49279
5,1,1,0,3,1,0,1,2,0,0,3,0,0,2,38999
1,1,1,1,3,1,0,1,2,0,0,3,0,0,2,41500
7,1,1,1,2,1,0,1,2,0,0,3,0,0,2,36999
3,1,1,1,3,1,0,1,2,0,0,3,0,0,2,42900
1,1,0,7,2,4,0,3,2,0,0,3,0,0,2,21490
3,1,1,1,3,1,0,1,2,0,0,3,0,0,2,41480
1,1,1,0,3,1,0,1,2,1,0,3,0,0,1,32990
1,1,1,1,3,1,0,1,2,1,0,0,0,0,2,38680
1,1,0,7,2,4,0,3,2,0,0,3,0,0,3,23990
3,1,1,0,3,1,0,1,2,1,0,3,0,0,2,40390
1,1,1,0,2,1,0,1,2,1,0,3,0,0,2,33990
1,1,0,7,2,4,0,3,2,0,0,3,0,0,2,20490
3,1,1,0,3,1,4,1,2,1,0,0,0,0,4,41490
3,1,1,1,3,1,4,1,2,1,0,3,0,0,3,45490
3,1,1,1,3,1,4,1,2,1,0,3,0,0,3,44490
1,1,1,1,3,1,4,1,2,1,0,0,0,0,3,41890
3,1,1,1,2,1,4,1,2,1,0,0,0,0,3,42990
7,1,1,1,3,1,4,1,2,1,0,3,0,0,3,40990
3,1,1,1,3,1,4,1,2,1,0,0,0,0,3,48990
3,1,1,1,2,1,4,1,2,1,0,0,0,0,2,43590
3,1,1,0,2,1,4,1,2,1,0,0,0,0,3,44690
1,1,1,0,2,1,4,1,2,1,0,3,0,0,2,40990
3,1,1,1,2,1,4,1,2,1,0,0,0,0,2,43990
3,1,1,0,2,1,4,1,2,1,0,0,0,0,3,41390
3,1,1,0,2,1,4,1,2,1,0,0,0,0,2,44290
3,1,1,1,2,1,4,1,2,1,0,0,0,0,2,48999
3,1,1,1,2,1,4,1,2,1,0,0,0,0,2,39990
3,1,1,0,3,1,4,1,2,1,0,3,0,0,1,46390
1,1,0,7,2,4,0,3,2,1,0,3,0,0,2,18990
1,1,0,7,2,4,0,3,2,0,0,3,0,0,2,17990
4,1,0,7,2,1,0,3,2,1,0,3,0,0,2,26470
4,1,0,7,2,1,0,3,2,1,0,3,0,0,2,27990
5,1,0,7,2,1,0,1,2,0,0,3,0,0,2,29999
5,1,0,7,2,5,0,3,2,1,0,3,0,0,2,25990
5,1,0,7,2,4,0,3,2,0,0,3,0,0,2,16990
5,1,0,7,2,4,0,3,2,0,0,3,0,0,1,24990
7,1,2,7,3,2,0,3,2,0,2,3,0,0,3,50990
7,1,2,7,3,4,0,3,2,0,0,0,0,0,3,119990
7,1,2,0,3,4,0,3,0,0,0,3,0,0,3,94190
1,1,2,0,3,4,0,3,0,0,2,3,0,0,3,106167
3,1,2,0,3,4,0,3,0,0,2,0,0,0,0,68090
3,1,2,0,3,4,0,3,0,0,0,0,0,0,2,139990
4,1,2,0,3,4,0,3,0,0,0,3,0,0,3,55990
